Sr No.,Product Name,Selling Price (INR)
1,Aloezy ( Intimate Foam Wash) | Best intimate wash for Womens,349
2,Ashwagandha Tablets,499
3,Boldup - 100 mg,490
4,Diaboglob,934
5,Garcinia Cambogia Drops - sehatUP,499
6,Her Menses (For Rhythmic Relief & Hormonal Harmony),499
7,HormoniHerb | Herbal Blue Tea | Your All in One Tea,399
8,Kern Drops,509
9,LeanRoutine,399
10,Orlistat 60 mg (Smart Science for a Leaner You),599
11,Pure Himalayan Shilajit Resin - 20g | SehatUP,1349
12,Shilajit Honey Sticks,899
13,Slimtox Energy Tea,399
14,Thyrostatin 3X,249
15,Vaji Bati,849
16,Zencal D3K2,499
,,
,,
Sr No.,Combos ,Selling Price (INR)
1,Natural Period Care & Hormonal Wellness | Her Menses & HormoniHerb Combo,799
2,Weight Management Kit - Female,799
3,Weight Management Kit - Male,799
4,Shilajit Sticks Energy & Stamina Kit,1149
5,Confidence & Performance Booster Kit,1099
6,Daily Energy & Stamina Support Kit,1699
